Year,Title,Creator,TotalCheckouts
2015,"Living the spirit : a gay American Indian anthology / compiled by Gay American Indians, Will Roscoe, coordinating editor.",NA,4
2015,Love in a dark time : and other explorations of gay lives and literature / Colm Tóibín.,"Tóibín, Colm, 1955-",4
2015,"Mercy, mercy me : the art, loves and demons of Marvin Gaye / Michael Eric Dyson.","Dyson, Michael Eric",4
2015,My husband and my wives : a gay man's odyssey / Charles Rowan Beye.,"Beye, Charles Rowan",4
2015,My queer war / James Lord.,"Lord, James",4
2015,Naked in the promised land / Lillian Faderman.,"Faderman, Lillian",4
2015,No compromise : the story of Harvey Milk / David Aretha.,"Aretha, David",4
2015,One teacher in ten in the new millennium : LGBT educators speak out about what's gotten better and what hasn't / edited by Kevin Jennings.,NA,4
2015,"Queer ecologies : sex, nature, politics, desire / edited by Catriona Mortimer-Sandilands and Bruce Erickson.",NA,4
2015,"Queers in history : the comprehensive encyclopedia of historical gays, lesbians, bisexuals, and transgenders / Keith Stern.","Stern, Keith, 1952-",4
2015,Secrets and lies : surviving the truths that change our lives / Jane Isay.,"Isay, Jane",4
2015,She looks just like you : a memoir of (nonbiological lesbian) motherhood / Amie Klempnauer Miller.,"Miller, Amie Klempnauer, 1965-",4
2015,Spartacus : international gay guide 2014/2015.,NA,4
2015,Sweet Tooth : a memoir / Tim Anderson,"Anderson, Tim",4
2015,"The Gloria Anzaldúa reader / Gloria E. Anzaldúa ; AnaLouise Keating, editor.","Anzaldúa, Gloria",4
2015,The complete Wendel / by Howard Cruse ; [with an introduction by Alison Bechdel.],"Cruse, Howard",4
2015,The glass closet : why coming out is good business / John Browne.,"Browne, John, 1948-",4
2015,The whole lesbian sex book : a passionate guide for all of us / Felice Newman.,"Newman, Felice",4
2015,"Ties that bind : the SM/leather/fetish erotic style : issues, commentaries, and advice / Guy Baldwin ; edited by Joseph Bean ; preface by Gayle Rubin.","Baldwin, Guy (Guy A.)",4
2015,"Understanding and teaching U.S. lesbian, gay, bisexual, and transgender history / edited by Leila J. Rupp, Susan K. Freeman.",NA,4
2015,"Why a gay person can't be made un-gay : the truth about reparative therapies / Martin Kantor, MD.","Kantor, Martin",4
2015,"Wild girls : Paris, Sappho, and art : the lives and loves of Natalie Barney and Romaine Brooks / Diana Souhami.","Souhami, Diana",4
2015,"""You can tell just by looking"" : and 20 other myths about LGBT life and people / Michael Bronski, Ann Pellegrini, Michael Amico.","Bronski, Michael",3
2015,1 2 3 a family counting book,NA,3
2015,A Lotus of another color : an unfolding of the South Asian gay and lesbian experience / edited by Rakesh Ratti.,NA,3
2015,A year straight : confessions of a boy-crazy lesbian beauty queen / Elena Azzoni.,"Azzoni, Elena, 1975-",3
2015,"Always my child : a parent's guide to understanding your gay, lesbian, bisexual, transgendered, or questioning son or daughter / Kevin Jennings with Pat Shapiro.","Jennings, Kevin, 1963-",3
2015,And then I danced : traveling the road to LGBT equality / a memoir by Mark Segal.,"Segal, Mark, 1951-",3
2015,At least in the city someone would hear me scream : misadventures in search of a simple life / Wade Rouse.,"Rouse, Wade",3
2015,Autobiography of my hungers / Rigoberto Gonzalez.,"González, Rigoberto",3
2015,Becoming gay : the journey to self-acceptance / Richard A. Isay.,"Isay, Richard A.",3
2015,Beyond shame : reclaiming the abandoned history of radical gay sexuality / Patrick Moore.,"Moore, Patrick, 1962-",3
2015,Center square : the Paul Lynde story / Joe Florenski and Steve Wilson.,"Florenski, Joe",3
2015,"Closets, combat and coming out : coming of age as a gay man in the ""don't ask, don't tell"" army / Rob Smith.","Smith, Rob",3
2015,"Crisis : 40 stories revealing the personal, social, and religious pain and trauma of growing up gay in America / edited by Mitchell Gold ; with Mindy Drucker.",NA,3
2015,Deviant propulsions / CA Conrad.,"Conrad, C. A.",3
2015,Flights of angels : my life with the Angels of light / Adrian Brooks ; photographs by Daniel Nicoletta.,"Brooks, Adrian, 1947-",3
2015,Gay America : struggle for equality / Linas Alsenas.,"Alsenas, Linas",3
2015,Gay American autobiography : writings from Whitman to Sedaris / edited by David Bergman.,NA,3
2015,Gay and lesbian parents / Julianna Fields.,"Fields, Julianna",3
